ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
yakumo-i-1-1,yakumo-i-1,ku'ani,i-1,false,expert,Hattori1960,,,
yakumo-thou-1-1,yakumo-thou-1,'e'ani,thou-1,false,expert,Hattori1960,,,
yakumo-this-1-1,yakumo-this-1,tánpe,this-1,false,expert,Hattori1960,,,
yakumo-that-1-1,yakumo-that-1,to'anpe,that-1,false,expert,Hattori1960,,,
yakumo-who-1-1,yakumo-who-1,nén,who-1,false,expert,Hattori1960,,,
yakumo-what-1-1,yakumo-what-1,nép,what-1,false,expert,Hattori1960,,,
yakumo-not-1-1,yakumo-not-1,somoné,not-1,false,expert,Hattori1960,,,
yakumo-all-1-1,yakumo-all-1,'opitta,all-1,false,expert,Hattori1960,,,
yakumo-many-1-1,yakumo-many-1,porónno,many-1,false,expert,Hattori1960,,,
yakumo-one-1-1,yakumo-one-1,sinép,one-1,false,expert,Hattori1960,,,
yakumo-two-1-1,yakumo-two-1,túp,two-1,false,expert,Hattori1960,,,
yakumo-big-1-1,yakumo-big-1,poró,big-1,false,expert,Hattori1960,,,
yakumo-long-1-1,yakumo-long-1,tánne,long-1,false,expert,Hattori1960,,,
yakumo-small-1-1,yakumo-small-1,pón,small-1,false,expert,Hattori1960,,,
yakumo-woman-1-1,yakumo-woman-1,menokó,woman-1,false,expert,Hattori1960,,,
yakumo-woman-2-1,yakumo-woman-2,mátnekur,woman-2,false,expert,Hattori1960,,,
yakumo-man-1-1,yakumo-man-1,'ókkayo,man-1,false,expert,Hattori1960,,,
yakumo-person-1-1,yakumo-person-1,'áynu,person-1,false,expert,Hattori1960,,,
yakumo-fish-1-1,yakumo-fish-1,ci'ép,fish-1,false,expert,Hattori1960,,,
yakumo-bird-1-1,yakumo-bird-1,cikáp,bird-1,false,expert,Hattori1960,,,
yakumo-bird-2-1,yakumo-bird-2,ciri,bird-2,false,expert,Hattori1960,,,
yakumo-dog-1-1,yakumo-dog-1,setá,dog-1,false,expert,Hattori1960,,,
yakumo-louse-1-1,yakumo-louse-1,'úrki,louse-1,false,expert,Hattori1960,,,
yakumo-tree-1-1,yakumo-tree-1,ní,tree-1,false,expert,Hattori1960,,,
yakumo-seed-1-1,yakumo-seed-1,pí,seed-1,false,expert,Hattori1960,,,
yakumo-leaf-1-1,yakumo-leaf-1,hám,leaf-1,false,expert,Hattori1960,,,
yakumo-root-1-1,yakumo-root-1,sínrit,root-1,false,expert,Hattori1960,,,
yakumo-bark-1-1,yakumo-bark-1,níkap,bark-1,false,expert,Hattori1960,,,
yakumo-skin-1-1,yakumo-skin-1,káp,skin-1,false,expert,Hattori1960,,,
yakumo-meat-1-1,yakumo-meat-1,kám,meat-1,false,expert,Hattori1960,,,
yakumo-blood-1-1,yakumo-blood-1,kém,blood-1,false,expert,Hattori1960,,,
yakumo-bone-1-1,yakumo-bone-1,poné,bone-1,false,expert,Hattori1960,,,
yakumo-greasefat-1-1,yakumo-greasefat-1,kírpu,greasefat-1,false,expert,Hattori1960,,,
yakumo-horn-1-1,yakumo-horn-1,kiráw,horn-1,false,expert,Hattori1960,,,
yakumo-tail-1-1,yakumo-tail-1,sár,tail-1,false,expert,Hattori1960,,,
yakumo-feather-1-1,yakumo-feather-1,ráp,feather-1,false,expert,Hattori1960,,,
yakumo-hair-1-1,yakumo-hair-1,numá,hair-1,false,expert,Hattori1960,,,
yakumo-head-1-1,yakumo-head-1,sapá,head-1,false,expert,Hattori1960,,,
yakumo-ear-1-1,yakumo-ear-1,kisár,ear-1,false,expert,Hattori1960,,,
yakumo-eye-1-1,yakumo-eye-1,sík,eye-1,false,expert,Hattori1960,,,
yakumo-nose-1-1,yakumo-nose-1,'etú,nose-1,false,expert,Hattori1960,,,
yakumo-mouth-1-1,yakumo-mouth-1,par,mouth-1,false,expert,Hattori1960,,,
yakumo-tooth-1-1,yakumo-tooth-1,mimák,tooth-1,false,expert,Hattori1960,,,
yakumo-tongue-1-1,yakumo-tongue-1,parúnpe,tongue-1,false,expert,Hattori1960,,,
yakumo-claw-1-1,yakumo-claw-1,'ám,claw-1,false,expert,Hattori1960,,,
yakumo-foot-1-1,yakumo-foot-1,'uré,foot-1,false,expert,Hattori1960,,,
yakumo-knee-1-1,yakumo-knee-1,kókkasapa,knee-1,false,expert,Hattori1960,,,
yakumo-hand-1-1,yakumo-hand-1,paraték,hand-1,false,expert,Hattori1960,,,
yakumo-belly-1-1,yakumo-belly-1,hón,belly-1,false,expert,Hattori1960,,,
yakumo-neck-1-1,yakumo-neck-1,rekút,neck-1,false,expert,Hattori1960,,,
yakumo-breast-1-1,yakumo-breast-1,pénram,breast-1,false,expert,Hattori1960,,,
yakumo-heart-1-1,yakumo-heart-1,sánpe,heart-1,false,expert,Hattori1960,,,
yakumo-liver-1-1,yakumo-liver-1,kúnne rá,liver-1,false,expert,Hattori1960,,,
yakumo-todrink-1-1,yakumo-todrink-1,kú,todrink-1,false,expert,Hattori1960,,,
yakumo-toeat-1-1,yakumo-toeat-1,'é(他),toeat-1,false,expert,Hattori1960,,,
yakumo-tobite-1-1,yakumo-tobite-1,kupá,tobite-1,false,expert,Hattori1960,,,
yakumo-tosee-1-1,yakumo-tosee-1,nukár,tosee-1,false,expert,Hattori1960,,,
yakumo-tohear-1-1,yakumo-tohear-1,nú,tohear-1,false,expert,Hattori1960,,,
yakumo-toknow-1-1,yakumo-toknow-1,'eramán,toknow-1,false,expert,Hattori1960,,,
